id,booth_id,title,price,quantity,price_negotiable,bonanza_id,image_id,will_local_pickup,committed,category_id,item_status_id,is_new,freebie,created_at,hide_where_possible,url_identifier,description_brief,booth_display_order,view_counter,delta,custom_category_id,updated_at,discounted_price,search_title,sku
5858784,36014,1965 Misses' DRESS Pattern 5910-s Size 9 - UNCUT,12.99,1,FALSE,485857671,6651083223,TRUE,TRUE,28174,6,,FALSE,7/3/09 14:50,,,"Simplicity Pattern 5910

MISSES"" DRESS

Size 9 - Bust 30-1/2

Copyright 1965

Pattern uncut and complete including the instructions.",,0,,,2/17/19 6:45,,1965 Misses' DRESS Pattern 5910-s Size 9 - UNCUT,
8880302,36014,"1959 CRISCO Cookbook - Proctor & Gamble ""Praise For The Cook""",6.99,1,FALSE,519326247,6748191392,TRUE,TRUE,11104,6,,FALSE,11/9/09 9:48,,,"PRAISE FOR THE COOK

Copyright 1959 - Cookbook featuring CRISCO shortening.

5-3/4"" by 8-3/4"" spiral bound with 120 pages.

Color pictures throughout. Very good condition though cover lightly soiled.

PPR3",,0,,,2/25/19 12:14,,"1959 CRISCO Cookbook - Proctor & Gamble ""Praise For The Cook""",
16242375,104562,"18"" Stuffed Soft Toy Teddy Bear & Clothes Elaine Heigl Sew Pattern Transfers Inc",11.99,1,FALSE,423725979,4442989051,TRUE,TRUE,28174,6,,FALSE,6/8/10 19:25,,,"18"" STUFFED SOFT TOY TEDDY BEAR CLOTHES ELAINE HEIGL SEW PATTERN TRANSFERS INCLUDED

PATTERN COMPANY: Simplicity Crafts

PATTERN NUMBER: 7895

COPYRIGHT DATE: 1997

CATEGORY: Crafts

SIZE: 18"".

DESCRIPTION: 18"" Bear and Clothes by Elaine Heigl...",,0,,211445,2/23/19 7:26,,"18"" Stuffed Soft Toy Teddy Bear & Clothes Elaine Heigl Sew Pattern Transfers Inc",
24036356,36014,The General Foods Kitchens Cookbook 1959 HC - FIRST,19.99,1,TRUE,378693277,95951859,TRUE,TRUE,11104,6,,FALSE,12/16/10 15:04,,,"The

General Foods Kitchens

COOKBOOK

Copyright 1959 - HC

Random House, Inc.

FIRST PRINTING

8-3/4"" by 9-1/4"" with 436 pages.

Good vintage condition - tight binding, clean inside;

cover is soiled and shows some wear.",,0,,,2/25/19 12:14,,The General Foods Kitchens Cookbook 1959 HC - FIRST,
24365237,45142,Simplicity 9989 Vintage 80s Pattern Child Size 3 and 4 Dress,6.95,1,TRUE,264236893,97789757,TRUE,TRUE,28174,6,,FALSE,12/27/10 13:05,,,"Simplicity 9989
Size 3 and 4

Sundress
Jumpsuit
Hat
Romper

New
Unused
Factory Fold
Vintage 1981

Non Smoking
Non Pet Home

Please ask Questions
No returns on Patterns as they are too easily copied",,0,,,2/21/19 16:06,,,
38325497,200380,Red Hat Stretch Bracelet with Charms,2.5,9,FALSE,398859116,142497618,TRUE,TRUE,50637,6,,FALSE,7/10/11 20:20,,,"Great stretch bracelet with red, pink and silver 6mm plastic beads. The bracelet is adorned with red hat, shoes, purse, dress enamel charms.",,0,,,2/21/19 17:04,,,
41163493,45142,Simplicity 5341 Vintage 60s Girls Sz 4 Jumper Dress Jacket ,9.95,1,TRUE,350784679,536512445,TRUE,TRUE,28174,6,,FALSE,9/25/11 9:55,,,"Little Girls Vintage Patterns

Vintage 1960s Pattern

Simplicity 5341

Size 4

Gently used

Previously owned

Vintage pattern printed in 1963

In good condition

All pieces included

From a smoke and pet free home

Please remember when buying t...",,0,,,2/21/19 16:06,,,
47504081,328782,"The Human Body, Its Anatomy and Physiology 1963 CH Best and NB Taylor",15,1,FALSE,348590130,2673050407,TRUE,TRUE,29223,6,,FALSE,2/3/12 14:15,,,"The Human Body, Its Anatomy and Physiology 1963 CH Best and NB Taylor

Good reference book.

Title: The Human Body, Its Anatomy and Physiology

Edition: Fourth edition

Cover type: Hardcover, green cloth.

Author: C. H. Best and N. B. Taylor

c...",,0,,,2/4/19 9:27,,"The Human Body, Its Anatomy and Physiology 1963 CH Best and NB Taylor",
87591275,89013,Original Tropical FURBY 1999 Special TOYSRUS.COM Limited Edition NRFB NEW IN BOX,109.99,1,FALSE,464150243,666191643,TRUE,TRUE,1083,6,,FALSE,8/10/12 13:33,,,"From my personal collection, this is the Special TOYSRUS.COM Edition Tropical FURBY, circa 1999. With bright Coral Fur, Yellow chest, White inner ears and Lime feet, Furby has gorgeous blue eyes. Furby wears his Tropical print shirt, Yellow and...",,0,,,2/5/19 22:49,,Original Tropical FURBY 1999 Special TOYSRUS.COM Limited Edition NRFB NEW IN BOX,
113893355,858475,Disney Mickey Mouse Face Wristwatch with Charms ,30,1,TRUE,457485693,806452929,TRUE,TRUE,1378,6,,FALSE,5/12/13 17:33,,,"Disney Mickey Mouse Face Wristwatch with Charms. New, has Mickey with his hands folded one on top of the other. Charms are his paints, glove and head. Simulated leather, great for any Mickey fan.

Purchases will be mailed USPS mail. Processing ...",,0,,,2/5/19 10:37,,Disney Mickey Mouse Face Wristwatch with Charms ,
